"","X1","easting","northing","stream_order","elevation"
"1685",5296,6175860.5,2105636.1405,4,228.830001831055
"1686",5297,6175863.5,2105636.1405,4,229.460006713867
"1687",5314,6180597.5,2105636.1405,4,392.890014648438
"1688",5324,6185043.5,2105636.1405,3,794.239990234375
"1689",5331,6187896.5,2105636.1405,4,744.880004882812
"1690",5333,6189351.5,2105636.1405,5,823.219970703125
"1691",5334,6189354.5,2105636.1405,5,823.47998046875
"1692",5348,6157779.5,2105633.1405,3,161.770004272461
"1693",5349,6158370.5,2105633.1405,6,133.820007324219
"1694",5350,6158781.5,2105633.1405,3,134.179992675781
"1695",5351,6159111.5,2105633.1405,3,135.369995117188
"1696",5352,6159774.5,2105633.1405,3,167.410003662109
"1697",5353,6159777.5,2105633.1405,3,167.300003051758
"1698",5354,6159780.5,2105633.1405,3,167.300003051758
"1699",5355,6159783.5,2105633.1405,3,167.330001831055
"1700",5356,6159786.5,2105633.1405,3,167.240005493164
"1701",5357,6159789.5,2105633.1405,3,167.240005493164
"1702",5358,6159792.5,2105633.1405,3,165.559997558594
"1703",5359,6159795.5,2105633.1405,3,165.770004272461
"1704",5366,6166089.5,2105633.1405,3,401.809997558594
"1705",5367,6168684.5,2105633.1405,4,329.880004882812
"1706",5371,6170970.5,2105633.1405,3,445.459991455078
"1707",5372,6172860.5,2105633.1405,3,295.589996337891
"1708",5374,6175005.5,2105633.1405,3,251.830001831055
"1709",5375,6175620.5,2105633.1405,6,226.949996948242
"1710",5376,6175626.5,2105633.1405,4,227.110000610352
"1711",5377,6175854.5,2105633.1405,4,228.320007324219
"1712",5378,6175857.5,2105633.1405,4,228.770004272461
"1713",5395,6180600.5,2105633.1405,4,393.239990234375
"1714",5405,6185043.5,2105633.1405,3,793.340026855469
"1715",5413,6187893.5,2105633.1405,4,744.830017089844
"1716",5415,6189345.5,2105633.1405,5,822.609985351562
"1717",5416,6189348.5,2105633.1405,5,822.960021972656
"1718",5439,6157782.5,2105630.1405,3,161.479995727539
"1719",5440,6158373.5,2105630.1405,6,133.770004272461
"1720",5441,6158775.5,2105630.1405,3,134.160003662109
"1721",5442,6158778.5,2105630.1405,3,134.160003662109
"1722",5443,6159114.5,2105630.1405,3,135.220001220703
"1723",5444,6159768.5,2105630.1405,3,167.220001220703
"1724",5445,6159771.5,2105630.1405,3,167.419998168945
"1725",5453,6166086.5,2105630.1405,3,401.809997558594
"1726",5454,6168684.5,2105630.1405,4,329.880004882812
"1727",5458,6170970.5,2105630.1405,3,445.459991455078
"1728",5459,6172860.5,2105630.1405,3,295.589996337891
"1729",5461,6175008.5,2105630.1405,3,251.830001831055
"1730",5462,6175620.5,2105630.1405,6,226.949996948242
"1731",5463,6175623.5,2105630.1405,4,227.039993286133
"1732",5464,6175851.5,2105630.1405,4,227.869995117188
"1733",5478,6180603.5,2105630.1405,4,393.239990234375
"1734",5488,6185043.5,2105630.1405,3,793.340026855469
"1735",5496,6187890.5,2105630.1405,4,744.700012207031
"1736",5498,6189339.5,2105630.1405,5,822.609985351562
"1737",5499,6189342.5,2105630.1405,5,822.609985351562
"1738",5512,6157785.5,2105627.1405,3,160.279998779297
"1739",5513,6158376.5,2105627.1405,6,133.610000610352
"1740",5514,6158772.5,2105627.1405,3,134.220001220703
"1741",5515,6159114.5,2105627.1405,3,134.990005493164
"1742",5516,6159762.5,2105627.1405,3,167.070007324219
"1743",5517,6159765.5,2105627.1405,3,167.070007324219
"1744",5524,6166083.5,2105627.1405,3,403.649993896484
"1745",5525,6168684.5,2105627.1405,4,329.880004882812
"1746",5529,6170967.5,2105627.1405,3,445.369995117188
"1747",5530,6172863.5,2105627.1405,3,295.299987792969
"1748",5532,6175008.5,2105627.1405,3,251.830001831055
"1749",5533,6175617.5,2105627.1405,6,226.949996948242
"1750",5534,6175623.5,2105627.1405,4,226.910003662109
"1751",5535,6175845.5,2105627.1405,4,227.710006713867
"1752",5536,6175848.5,2105627.1405,4,227.990005493164
"1753",5550,6180606.5,2105627.1405,4,393.239990234375
"1754",5560,6185043.5,2105627.1405,3,792.799987792969
"1755",5568,6187887.5,2105627.1405,4,744.539978027344
"1756",5570,6189333.5,2105627.1405,5,821.940002441406
"1757",5571,6189336.5,2105627.1405,5,822.059997558594
"1758",5586,6157788.5,2105624.1405,3,159.660003662109
"1759",5587,6158379.5,2105624.1405,6,134.070007324219
"1760",5588,6158766.5,2105624.1405,3,134.860000610352
"1761",5589,6158769.5,2105624.1405,3,134.559997558594
"1762",5590,6159117.5,2105624.1405,3,134.869995117188
"1763",5591,6159756.5,2105624.1405,3,166.910003662109
"1764",5592,6159759.5,2105624.1405,3,166.990005493164
"1765",5599,6166083.5,2105624.1405,3,400.769989013672
"1766",5600,6168684.5,2105624.1405,4,330.279998779297
"1767",5604,6170967.5,2105624.1405,3,444.75
"1768",5605,6172863.5,2105624.1405,3,294.670013427734
"1769",5607,6175008.5,2105624.1405,3,253.710006713867
"1770",5608,6175617.5,2105624.1405,6,226.880004882812
"1771",5609,6175620.5,2105624.1405,4,226.880004882812
"1772",5610,6175839.5,2105624.1405,4,227.300003051758
"1773",5611,6175842.5,2105624.1405,4,227.429992675781
"1774",5625,6180606.5,2105624.1405,4,393.859985351562
"1775",5635,6185043.5,2105624.1405,3,792.700012207031
"1776",5643,6187884.5,2105624.1405,4,744.390014648438
"1777",5645,6189327.5,2105624.1405,5,821.5
"1778",5646,6189330.5,2105624.1405,5,821.599975585938
"1779",5689,6157791.5,2105621.1405,3,159.25
"1780",5690,6157794.5,2105621.1405,3,158.490005493164
"1781",5691,6158382.5,2105621.1405,6,134.020004272461
"1782",5692,6158763.5,2105621.1405,3,134.699996948242
"1783",5693,6159117.5,2105621.1405,3,134.869995117188
"1784",5694,6159750.5,2105621.1405,3,166.830001831055
"1785",5695,6159753.5,2105621.1405,3,166.740005493164
"1786",5703,6166080.5,2105621.1405,3,400.529998779297
"1787",5704,6168684.5,2105621.1405,4,343.984100341797
"1788",5709,6170964.5,2105621.1405,3,444.529998779297
"1789",5710,6172863.5,2105621.1405,3,294.670013427734
"1790",5712,6175011.5,2105621.1405,3,252.199996948242
"1791",5713,6175614.5,2105621.1405,6,226.960006713867
"1792",5714,6175617.5,2105621.1405,4,226.880004882812
"1793",5715,6175836.5,2105621.1405,4,227.289993286133
"1794",5729,6180609.5,2105621.1405,4,394.130004882812
"1795",5739,6185043.5,2105621.1405,3,792.429992675781
"1796",5747,6187881.5,2105621.1405,4,744.210021972656
"1797",5749,6189324.5,2105621.1405,5,821.150024414062
